Date,BTC,ETH,,XXXX
Wed Jun 02 13:30:00 UTC 2021,37664,2739.35,,
Wed Jun 02 13:40:00 UTC 2021,37606.5,2743.05,,
Wed Jun 02 13:50:00 UTC 2021,37603.5,2743.45,,
Wed Jun 02 14:00:00 UTC 2021,37545,2734.5,,
Wed Jun 02 14:10:00 UTC 2021,37511,2729.55,,
Wed Jun 02 14:20:00 UTC 2021,37711,2740.7,,
Wed Jun 02 14:30:00 UTC 2021,37867.5,2745.05,,
Wed Jun 02 14:40:00 UTC 2021,37925.5,2766.1,,
Wed Jun 02 14:50:00 UTC 2021,37789,2758.1,,
Wed Jun 02 15:00:00 UTC 2021,37865.5,2766.5,,
Wed Jun 02 15:10:00 UTC 2021,37953,2777.15,,
Wed Jun 02 15:20:00 UTC 2021,38080,2787.75,,
Wed Jun 02 15:30:00 UTC 2021,38096.5,2788.05,,
Wed Jun 02 15:40:00 UTC 2021,37960,2776.8,,
Wed Jun 02 15:50:00 UTC 2021,37980.5,2781.65,,
Wed Jun 02 16:00:00 UTC 2021,38019,2791.85,,
Wed Jun 02 16:10:00 UTC 2021,38033,2788.15,,
Wed Jun 02 16:20:00 UTC 2021,38145.5,2792.7,,
Wed Jun 02 16:30:00 UTC 2021,38049,2783,,
Wed Jun 02 16:40:00 UTC 2021,37887.5,2766.9,,
Wed Jun 02 16:50:00 UTC 2021,37793,2748.45,,
Wed Jun 02 17:00:00 UTC 2021,37893.5,2760.45,,
Wed Jun 02 17:10:00 UTC 2021,37846,2761.85,,
Wed Jun 02 17:20:00 UTC 2021,37888.5,2758,,
Wed Jun 02 17:30:00 UTC 2021,37781.5,2746.85,,
Wed Jun 02 17:40:00 UTC 2021,37908,2761.2,,
Wed Jun 02 17:50:00 UTC 2021,37915.5,2761.05,,
Wed Jun 02 18:00:00 UTC 2021,38002,2768.6,,
Wed Jun 02 18:10:00 UTC 2021,38000,2766.5,,
Wed Jun 02 18:20:00 UTC 2021,37830.5,2754.25,,
Wed Jun 02 18:30:00 UTC 2021,37968,2765.2,,
Wed Jun 02 18:40:00 UTC 2021,37970.5,2764.5,,
Wed Jun 02 18:50:00 UTC 2021,37960.5,2769.1,,
Wed Jun 02 19:00:00 UTC 2021,37993.5,2773.4,,
Wed Jun 02 19:10:00 UTC 2021,37938.5,2758.9,,
Wed Jun 02 19:20:00 UTC 2021,37955.5,2763.65,,
Wed Jun 02 19:30:00 UTC 2021,37822,2757.05,,
Wed Jun 02 19:40:00 UTC 2021,37870.5,2765.8,,
Wed Jun 02 19:50:00 UTC 2021,37846,2757.7,,
Wed Jun 02 20:00:00 UTC 2021,37857,2758.2,,
Wed Jun 02 20:10:00 UTC 2021,37784.5,2750.85,,
Wed Jun 02 20:20:00 UTC 2021,37600,2726.45,,
Wed Jun 02 20:30:00 UTC 2021,37647.5,2731.95,,
Wed Jun 02 20:40:00 UTC 2021,37699,2735.05,,
Wed Jun 02 20:50:00 UTC 2021,37722.5,2730.3,,
Wed Jun 02 21:00:00 UTC 2021,37731,2724.5,,
Wed Jun 02 21:10:00 UTC 2021,37764,2732.4,,
Wed Jun 02 21:20:00 UTC 2021,37853.5,2733.45,,
Wed Jun 02 21:30:00 UTC 2021,37764,2728.5,,
