Date,Price
Wed Jan 26 05:00:00 UTC 2022,37782.0
Wed Jan 26 05:10:00 UTC 2022,37675.0
Wed Jan 26 05:20:00 UTC 2022,37670.5
Wed Jan 26 05:30:00 UTC 2022,37706.5
Wed Jan 26 05:40:00 UTC 2022,37681.0
Wed Jan 26 05:50:00 UTC 2022,37796.5
Wed Jan 26 06:00:00 UTC 2022,37597.0
Wed Jan 26 06:10:00 UTC 2022,37615.5
Wed Jan 26 06:20:00 UTC 2022,37731.0
Wed Jan 26 06:30:00 UTC 2022,37470.0
Wed Jan 26 06:40:00 UTC 2022,37400.0
Wed Jan 26 06:50:00 UTC 2022,37331.0
Wed Jan 26 07:00:00 UTC 2022,37299.5
Wed Jan 26 07:10:00 UTC 2022,37219.0
Wed Jan 26 07:20:00 UTC 2022,37246.5
Wed Jan 26 07:30:00 UTC 2022,37198.0
Wed Jan 26 07:40:00 UTC 2022,37339.0
Wed Jan 26 07:50:00 UTC 2022,37325.5
Wed Jan 26 08:00:00 UTC 2022,37343.0
Wed Jan 26 08:10:00 UTC 2022,37507.5
Wed Jan 26 08:20:00 UTC 2022,37496.5
Wed Jan 26 08:30:00 UTC 2022,37520.5
Wed Jan 26 08:40:00 UTC 2022,37654.5
Wed Jan 26 08:50:00 UTC 2022,37526.0
Wed Jan 26 09:00:01 UTC 2022,37611.0
Wed Jan 26 09:10:01 UTC 2022,37716.0
Wed Jan 26 09:20:00 UTC 2022,37754.5
Wed Jan 26 09:30:00 UTC 2022,37776.0
Wed Jan 26 09:40:00 UTC 2022,37740.5
Wed Jan 26 09:50:00 UTC 2022,37850.0
Wed Jan 26 10:00:00 UTC 2022,37659.0
Wed Jan 26 10:10:00 UTC 2022,37640.0
Wed Jan 26 10:20:00 UTC 2022,37635.0
Wed Jan 26 10:30:00 UTC 2022,37719.0
Wed Jan 26 10:40:00 UTC 2022,37750.0
Wed Jan 26 10:50:00 UTC 2022,37816.5
Wed Jan 26 11:00:00 UTC 2022,37939.5
Wed Jan 26 11:10:00 UTC 2022,37867.5
Wed Jan 26 11:20:00 UTC 2022,37809.5
Wed Jan 26 11:30:00 UTC 2022,37849.0
Wed Jan 26 11:40:00 UTC 2022,37898.0
Wed Jan 26 11:50:00 UTC 2022,37946.0
Wed Jan 26 12:00:00 UTC 2022,38074.5
Wed Jan 26 12:10:00 UTC 2022,37941.5
Wed Jan 26 12:20:00 UTC 2022,37851.5
Wed Jan 26 12:30:00 UTC 2022,37828.0
Wed Jan 26 12:40:00 UTC 2022,37910.5
Wed Jan 26 12:50:00 UTC 2022,37800.0
Wed Jan 26 13:00:00 UTC 2022,37773.0
Wed Jan 26 13:10:00 UTC 2022,37887.5
Wed Jan 26 13:20:00 UTC 2022,37730.5
Wed Jan 26 13:30:00 UTC 2022,37975.5
Wed Jan 26 13:40:00 UTC 2022,37908.5
Wed Jan 26 13:50:00 UTC 2022,38187.0
Wed Jan 26 14:00:00 UTC 2022,38194.5
Wed Jan 26 14:10:00 UTC 2022,38300.0
Wed Jan 26 14:20:00 UTC 2022,38403.0
Wed Jan 26 14:30:00 UTC 2022,38401.5
Wed Jan 26 14:40:00 UTC 2022,38218.5
Wed Jan 26 14:50:00 UTC 2022,38214.5
Wed Jan 26 15:00:00 UTC 2022,38234.0
